2025-10-20 12:10:35,389 INFO    MainThread:4178446 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2025-10-20 12:10:35,390 INFO    MainThread:4178446 [wandb_setup.py:_flush():79] Configure stats pid to 4178446
2025-10-20 12:10:35,390 INFO    MainThread:4178446 [wandb_setup.py:_flush():79] Loading settings from /home/yasir/.config/wandb/settings
2025-10-20 12:10:35,390 INFO    MainThread:4178446 [wandb_setup.py:_flush():79] Loading settings from /home/yasir/Summer_Research/Autoencoder_EdgeGuided_ModuleWise_NOT_Latest/wandb/settings
2025-10-20 12:10:35,390 INFO    MainThread:4178446 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2025-10-20 12:10:35,390 INFO    MainThread:4178446 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2025-10-20 12:10:35,390 INFO    MainThread:4178446 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'Summer_Research/Autoencoder_EdgeGuided_ModuleWise_NOT_Latest/train_YCbCr_Outside_penalty.py', 'program_abspath': '/home/yasir/Summer_Research/Autoencoder_EdgeGuided_ModuleWise_NOT_Latest/train_YCbCr_Outside_penalty.py', 'program': 'train_YCbCr_Outside_penalty.py'}
2025-10-20 12:10:35,390 INFO    MainThread:4178446 [wandb_setup.py:_flush():79] Applying login settings: {}
2025-10-20 12:10:35,390 INFO    MainThread:4178446 [wandb_init.py:_log_setup():533] Logging user logs to /home/yasir/Summer_Research/Autoencoder_EdgeGuided_ModuleWise_NOT_Latest/wandb/run-20251020_121035-kv3tzpgx/logs/debug.log
2025-10-20 12:10:35,390 INFO    MainThread:4178446 [wandb_init.py:_log_setup():534] Logging internal logs to /home/yasir/Summer_Research/Autoencoder_EdgeGuided_ModuleWise_NOT_Latest/wandb/run-20251020_121035-kv3tzpgx/logs/debug-internal.log
2025-10-20 12:10:35,390 INFO    MainThread:4178446 [wandb_init.py:init():619] calling init triggers
2025-10-20 12:10:35,390 INFO    MainThread:4178446 [wandb_init.py:init():627] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.02, 'architecture': 'CNN', 'dataset': '|Custom| MRI-PET', 'epochs': 20}
2025-10-20 12:10:35,390 INFO    MainThread:4178446 [wandb_init.py:init():669] starting backend
2025-10-20 12:10:35,390 INFO    MainThread:4178446 [wandb_init.py:init():673] sending inform_init request
2025-10-20 12:10:35,396 INFO    MainThread:4178446 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-10-20 12:10:35,397 INFO    MainThread:4178446 [wandb_init.py:init():686] backend started and connected
2025-10-20 12:10:35,408 INFO    MainThread:4178446 [wandb_init.py:init():781] updated telemetry
2025-10-20 12:10:35,410 INFO    MainThread:4178446 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2025-10-20 12:10:36,107 INFO    MainThread:4178446 [wandb_init.py:init():867] starting run threads in backend
2025-10-20 12:10:36,496 INFO    MainThread:4178446 [wandb_run.py:_console_start():2456] atexit reg
2025-10-20 12:10:36,496 INFO    MainThread:4178446 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2025-10-20 12:10:36,496 INFO    MainThread:4178446 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-10-20 12:10:36,497 INFO    MainThread:4178446 [wandb_run.py:_redirect():2395] Redirects installed.
2025-10-20 12:10:36,499 INFO    MainThread:4178446 [wandb_init.py:init():911] run started, returning control to user process
2025-10-20 12:13:06,917 WARNING MsgRouterThr:4178446 [router.py:message_loop():75] message_loop has been closed
